hotel_id,hotel_name,hotel_address,city,country,rating,total_rooms
38,Smith-Oneill Hotel,"57214 Miles Cape
South Juan, MI 42865",East Jeff,Bolivia,4.67,469
39,Maldonado Inc Hotel,"422 Knight Lodge Suite 597
Port Patrick, FL 57467",Maxwelltown,Angola,4.55,450
40,"Todd, Burns and Garcia Hotel","52707 Tammy Overpass Apt. 716
Jasminestad, WV 49671",Lake Patricia,Heard Island and McDonald Islands,3.11,404
41,Hardin-Mcgee Hotel,"51905 Chang Skyway
Chloeborough, PW 08153",Watsonmouth,Namibia,3.5,78
42,Williams and Sons Hotel,"14479 Katherine Streets
Port David, TX 96722",New Elizabethbury,Gibraltar,3.74,264
43,Gamble PLC Hotel,"5905 Brandi Rapid Suite 080
Bethborough, FM 08569",East Jacob,Bulgaria,3.72,296
44,Williams and Sons Hotel,"854 Rogers Square Apt. 557
Rhodesfort, MI 85620",Amandafort,China,4.01,200
45,"Fisher, Phillips and Strickland Hotel","393 Kevin Plains Apt. 483
Cynthiafurt, FM 36653",South Brianstad,Equatorial Guinea,4.48,299
46,Whitehead-Chapman Hotel,"PSC 6897, Box 4157
APO AE 80776",Kennethborough,Singapore,4.65,200
47,Santos-Sanders Hotel,"78022 Mercer Hills Suite 113
Heathton, MS 12108",Davisborough,Russian Federation,4.34,157
48,"Aguirre, Jordan and Daugherty Hotel","99066 Leblanc Unions
Craigmouth, WA 50247",Port Christianburgh,Ethiopia,4.07,481
49,Shepherd-Mccarthy Hotel,"USCGC Harvey
FPO AP 79227",Ritterchester,Guatemala,3.05,93
50,Barrera and Sons Hotel,"22007 Jacobs Junctions
Hallbury, MT 40473",South Davidhaven,Pitcairn Islands,4.59,154
51,"Huang, Caldwell and Neal Hotel","801 Porter Shoal
West Lindafort, SC 00638",Larsonchester,Wallis and Futuna,4.82,268
52,"Hanson, Duncan and Bryant Hotel","Unit 0922 Box 6978
DPO AA 93661",Josephstad,Malaysia,4.19,197
53,Yang Group Hotel,"95182 Haynes Plains
New Ashleyport, NV 66450",Pittsberg,Bolivia,4.48,364
54,"Hunt, Lozano and Levy Hotel","072 Lonnie Parkway
East Tracyport, MD 52383",North Heather,Uganda,4.73,477
55,"Rodriguez, Greene and Crawford Hotel","02922 Wilkerson Path
Kyleville, MD 29821",Port Steven,Comoros,4.88,380
56,Wolfe and Sons Hotel,"PSC 6312, Box 0956
APO AA 43659",Elizabethville,Saudi Arabia,3.5,347
57,Jones-Watson Hotel,"979 Price Ford Suite 965
Deckerhaven, NM 37558",New David,Burundi,4.46,68
58,Vasquez-Bates Hotel,"01498 Wilson Skyway Apt. 591
Lake Nicholasborough, PR 37279",Curryland,Ireland,3.38,500
59,Bell-Lopez Hotel,"2232 Mccoy Light
North Jennifer, AK 08166",West Terrenceshire,Zambia,3.87,233
60,Wu Ltd Hotel,"61937 Alejandro Ports
Heatherhaven, MD 10282",East Robertfurt,Cameroon,3.38,202
61,"Taylor, Thomas and Moore Hotel","5605 Johnson Pike
Gregoryfort, IN 66663",New Johnland,Korea,4.68,121
62,"Taylor, Adams and Wood Hotel","PSC 5731, Box 3066
APO AE 97732",Hollymouth,Mayotte,3.29,166
63,"Scott, Torres and Fuller Hotel","1648 Goodman Fall
Wilkinsbury, ID 11418",Reidstad,Peru,3.07,406
64,"Mcclain, Franklin and Oneal Hotel","0798 Donna Burgs
Susanborough, AZ 83214",South Nicolefort,Guernsey,4.04,265
65,Fitzpatrick Group Hotel,"9887 Pollard Rapid Suite 509
Raymondchester, AR 34097",New Bryan,India,3.72,236
66,Fletcher Group Hotel,"50794 Townsend Port
North Jenniferhaven, IN 24675",South Christina,Finland,3.39,374
67,"Ward, Robinson and Flores Hotel","85291 Kelly Landing
South Christopher, WI 03711",Jordanchester,Western Sahara,3.96,356
68,Hawkins LLC Hotel,"533 Veronica Parks
Marvinville, DE 17223",Stevenbury,Burundi,4.12,159
69,Thomas LLC Hotel,"813 Dawn Stream
Evansstad, AR 02507",Loveshire,American Samoa,4.15,354
70,Mason-Hernandez Hotel,"4482 Deanna Valley
Port Christopherstad, MN 33092",Vegatown,Ecuador,3.09,459
71,"Chavez, Chandler and Davies Hotel","57986 Andrews Loaf Suite 945
Scottville, DC 89076",Stevensonside,British Indian Ocean Territory (Chagos Archipelago),3.57,414
72,"Bradshaw, Chandler and Cook Hotel","177 Wallace Unions
Taylorshire, VA 63583",Berrymouth,Ukraine,3.17,416
73,Pittman-Brooks Hotel,"42720 Karen Plains Suite 418
South Erica, LA 48373",Robinsonville,South Georgia and the South Sandwich Islands,4.46,443
74,Harris-Hurst Hotel,"59598 Wilkinson Cape Suite 334
North Michael, SC 85192",Henrytown,Bouvet Island (Bouvetoya),3.89,268
75,Leonard-Schmidt Hotel,"394 Stacy Turnpike Suite 713
Boydport, PR 41492",Jamesside,Sierra Leone,3.06,52
76,Pratt Inc Hotel,"USS Curtis
FPO AP 36373",Bethburgh,Guatemala,4.65,470
77,"Glenn, Beck and Hammond Hotel","761 Gary Rue Suite 833
Coleside, TX 04836",Webbfort,Bulgaria,3.6,385
78,Serrano PLC Hotel,"24152 Rogers Streets Suite 795
Joneshaven, NH 72364",Lake Mark,Reunion,3.03,121
79,Nelson-Trujillo Hotel,"847 James Trace
Saraton, NM 47475",Clairestad,Bulgaria,4.36,233
80,"Welch, Anderson and Johnson Hotel","570 Antonio Stravenue Apt. 514
Chadfort, WI 57915",Lewismouth,Grenada,3,276
81,"Pollard, Murray and Sawyer Hotel","01443 Carlos Pines
Jennifertown, VI 21407",New Christopher,Mayotte,3.83,176
82,King Inc Hotel,"991 Danielle Tunnel Apt. 168
Lake Christopher, IL 19422",Greenside,Estonia,3.23,123
83,Mcdaniel-Hansen Hotel,"98754 Dawson Mission
Mayburgh, PA 47174",Robertville,Malawi,4.18,333
84,Wright Inc Hotel,"6008 Joseph Overpass Suite 549
North Robert, NJ 88388",New Suzanne,Afghanistan,4.9,421
85,Roberts and Sons Hotel,"800 Reyes Port
Sheilamouth, SD 32976",Payneberg,Uzbekistan,3.98,100
86,Schneider-Ruiz Hotel,"791 Cervantes Hollow
Cynthiaton, MI 64889",East Josehaven,Netherlands,3.07,117
87,"Hughes, Ross and Smith Hotel","690 Micheal Crossing Suite 911
North Christopher, MD 32916",West Johnshire,Slovenia,3.08,56
88,Randall LLC Hotel,"845 Davis Hollow Apt. 052
Owenschester, WI 48076",Ruizton,Norway,4.23,327
89,"Hoffman, Adams and Russell Hotel","98059 Victor Mount Apt. 104
New Davidland, WY 28003",North Jasonfort,Malawi,4.44,237
90,Marshall PLC Hotel,"6207 Miranda Spring
North Danieltown, MI 23826",Christopherport,Guatemala,3.62,286
91,Thompson LLC Hotel,"75740 Elizabeth Islands
North Tinaland, PA 83678",Fergusonland,Solomon Islands,4.8,148
92,"Ramirez, Byrd and Jenkins Hotel","6211 Carrie Pines
East Sarahmouth, VA 97731",Bergville,Canada,4.98,435
93,Mcintosh and Sons Hotel,"96480 Murray Field
Floydview, MA 69600",Chelseachester,Tokelau,4.53,199
94,Lewis-Mccoy Hotel,"845 Joshua Crescent
Reedmouth, OH 66673",Davisburgh,Myanmar,4,319
95,Mercado LLC Hotel,"059 Vazquez Manor
East Manuelborough, HI 96848",Lake Philip,Saudi Arabia,4.77,271
96,"Lucero, Guzman and Lawrence Hotel","1616 Travis Center Suite 396
South Catherineberg, MN 07231",Matthewburgh,Palau,3.88,446
97,Cunningham-Stafford Hotel,"18477 Juarez Stream
North Alyssa, MD 06755",Lesliechester,Saudi Arabia,4.21,319
98,"Becker, Williams and Long Hotel","25460 Smith Points Apt. 727
East Sally, OH 79275",Brownmouth,Mauritius,4.63,480
99,Contreras Group Hotel,"5953 Nathan Hill
Lake Kathyburgh, AR 51101",Thomasfort,Guyana,4.04,123
100,Hopkins Inc Hotel,"PSC 3698, Box 5777
APO AP 72685",Kevinview,Aruba,4.15,385
